mode,min_items,min_support,min_confidence,min_lift,rules,avg_lift,avg_confidence
trades,3,0.01,0.3,1.1,179,10.167648893349613,0.5000146065884524
trades,3,0.01,0.3,1.3,179,10.167648893349613,0.5000146065884524
trades,3,0.01,0.3,1.5,179,10.167648893349613,0.5000146065884524
trades,3,0.01,0.4,1.1,131,10.51175928147508,0.5579430710524648
trades,3,0.01,0.4,1.3,131,10.51175928147508,0.5579430710524648
trades,3,0.01,0.4,1.5,131,10.51175928147508,0.5579430710524648
trades,2,0.01,0.3,1.1,79,9.112498284238944,0.5102054056585125
trades,2,0.01,0.3,1.3,79,9.112498284238944,0.5102054056585125
trades,2,0.01,0.3,1.5,79,9.112498284238944,0.5102054056585125
trades,3,0.01,0.5,1.1,77,10.828836994125766,0.6345801609802323
trades,3,0.01,0.5,1.3,77,10.828836994125766,0.6345801609802323
trades,3,0.01,0.5,1.5,77,10.828836994125766,0.6345801609802323
trades,2,0.01,0.4,1.1,65,9.518630995890312,0.5438297176830946
trades,2,0.01,0.4,1.3,65,9.518630995890312,0.5438297176830946
trades,2,0.01,0.4,1.5,65,9.518630995890312,0.5438297176830946
trades,3,0.01,0.6,1.1,41,11.562698452161333,0.7125387572195977
trades,3,0.01,0.6,1.3,41,11.562698452161333,0.7125387572195977
trades,3,0.01,0.6,1.5,41,11.562698452161333,0.7125387572195977
trades,1,0.01,0.3,1.1,34,9.096683588676385,0.5256091491862644
trades,1,0.01,0.3,1.3,34,9.096683588676385,0.5256091491862644
trades,1,0.01,0.3,1.5,34,9.096683588676385,0.5256091491862644
trades,2,0.01,0.5,1.1,34,9.000158791704969,0.632841018386954
trades,2,0.01,0.5,1.3,34,9.000158791704969,0.632841018386954
trades,2,0.01,0.5,1.5,34,9.000158791704969,0.632841018386954
trades,1,0.01,0.4,1.1,26,10.379169988320497,0.5816984318340971
trades,1,0.01,0.4,1.3,26,10.379169988320497,0.5816984318340971
trades,1,0.01,0.4,1.5,26,10.379169988320497,0.5816984318340971
trades,1,0.01,0.5,1.1,19,10.24225369308367,0.6266338374377743
trades,1,0.01,0.5,1.3,19,10.24225369308367,0.6266338374377743
trades,1,0.01,0.5,1.5,19,10.24225369308367,0.6266338374377743
trades,2,0.01,0.6,1.1,16,9.994750218701975,0.7254195415317856
trades,2,0.01,0.6,1.3,16,9.994750218701975,0.7254195415317856
trades,2,0.01,0.6,1.5,16,9.994750218701975,0.7254195415317856
trades,3,0.02,0.3,1.1,12,5.190624144659198,0.550401165355917
trades,3,0.02,0.3,1.3,12,5.190624144659198,0.550401165355917
trades,3,0.02,0.3,1.5,12,5.190624144659198,0.550401165355917
trades,3,0.02,0.4,1.1,10,5.464649977139679,0.5845816383631174
trades,3,0.02,0.4,1.3,10,5.464649977139679,0.5845816383631174
trades,3,0.02,0.4,1.5,10,5.464649977139679,0.5845816383631174
trades,1,0.01,0.6,1.1,9,12.582609814854713,0.7163578418398192
trades,1,0.01,0.6,1.3,9,12.582609814854713,0.7163578418398192
trades,1,0.01,0.6,1.5,9,12.582609814854713,0.7163578418398192
trades,3,0.02,0.5,1.1,6,5.512762687245125,0.6634841825791762
trades,3,0.02,0.5,1.3,6,5.512762687245125,0.6634841825791762
trades,3,0.02,0.5,1.5,6,5.512762687245125,0.6634841825791762
trades,2,0.02,0.3,1.1,6,3.9551366348534196,0.5796151551325179
trades,2,0.02,0.3,1.3,6,3.9551366348534196,0.5796151551325179
trades,2,0.02,0.3,1.5,6,3.9551366348534196,0.5796151551325179
trades,2,0.02,0.4,1.1,5,4.270570741485121,0.6258412164620518
trades,2,0.02,0.4,1.3,5,4.270570741485121,0.6258412164620518
trades,2,0.02,0.4,1.5,5,4.270570741485121,0.6258412164620518
trades,3,0.02,0.6,1.1,4,6.551800131027883,0.708156974604343
trades,3,0.02,0.6,1.3,4,6.551800131027883,0.708156974604343
trades,3,0.02,0.6,1.5,4,6.551800131027883,0.708156974604343
trades,2,0.02,0.5,1.1,4,4.604961865750245,0.6748453802266876
trades,2,0.02,0.5,1.3,4,4.604961865750245,0.6748453802266876
trades,2,0.02,0.5,1.5,4,4.604961865750245,0.6748453802266876
trades,2,0.02,0.6,1.1,2,5.314540588760036,0.7788323267184354
trades,2,0.02,0.6,1.3,2,5.314540588760036,0.7788323267184354
trades,2,0.02,0.6,1.5,2,5.314540588760036,0.7788323267184354
